date,favourite,retweet,pred,ma4
2021-05-20,1124.3334,465.77777,.12955746,.12246677
2021-05-21,0,246.8,.058869306,.15464815
2021-05-22,2521.6667,648.66669,.12550099,.1507445
2021-05-23,0,586.66669,.0067585451,.13033488
2021-05-24,9360,2316,.092429899,.080171578
2021-05-25,2210.1428,708.5,.22542596,.070889689
2021-05-26,6521,1328.75,.0046206452,.11252885
2021-05-28,0,530.04761,.041238956,.10749216
2021-05-29,0,462.75,.11983466,.090428516
2021-05-30,0,164,.00079381879,.055231422
2021-05-31,0,242.55556,.18667243,.053955812
2021-06-01,753.5,439.91666,.15113483,.087134965
2021-06-02,0,310,.38068545,.11460894
2021-06-03,2696,753,.18073779,.17982164
2021-06-04,640.24243,380.0303,.12912647,.22480762
2021-06-05,3913,786.59998,.099043496,.21042114
